rank,song_id,score,term_va,term_cte,term_ngram,d_va,d_cte,sim_ngram
1,109,-0.010629481081954245,-0.03840725885973202,-0.0,0.027777777777777776,0.03840725885973202,0.4554739881710018,0.037037037037037035
2,81,-0.10920344900516318,-0.10920344900516318,-0.0,0.0,0.10920344900516318,0.1155245300933242,0.0
3,52,-0.13537966033740895,-0.13537966033740895,-0.0,0.0,0.13537966033740895,0.3246801516322181,0.0
4,253,-0.14292286622875439,-0.14292286622875439,-0.0,0.0,0.14292286622875439,0.3662625047049777,0.0
5,122,-0.1495966712777514,-0.1495966712777514,-0.0,0.0,0.1495966712777514,0.4481419217735938,0.0
6,110,-0.15114391925222936,-0.15114391925222936,-0.0,0.0,0.15114391925222936,0.4264546405733447,0.0
7,486,-0.15138047361239715,-0.15138047361239715,-0.0,0.0,0.15138047361239715,0.3182570841474064,0.0
8,555,-0.1804111061533278,-0.1804111061533278,-0.0,0.0,0.1804111061533278,0.11685437016797529,0.0
9,43,-0.18669548511808617,-0.18669548511808617,-0.0,0.0,0.18669548511808617,0.30078564889276316,0.0
10,976,-0.1882247547911756,-0.1882247547911756,-0.0,0.0,0.1882247547911756,0.05355572805893405,0.0
