beta_cte,gamma_ngram,P@5,R@5,NDCG@5,P@10,R@10,NDCG@10,P@20,R@20,NDCG@20
0.0,0.0,0.08191881918819177,0.005237069198878877,0.08399379541165283,0.07416974169741698,0.009459972237833182,0.07802190544608505,0.07361623616236175,0.018730610523904383,0.07642678330007882
0.0,0.25,0.08339483394833937,0.00532877897673615,0.08583172315580734,0.07453874538745389,0.009506097699087796,0.07893301399189113,0.07398523985239866,0.018825753028396612,0.07710794638989313
0.0,0.5,0.08339483394833935,0.005329831770324398,0.08686230188693601,0.0752767527675277,0.009600115192329917,0.08014515077709576,0.0741697416974171,0.01887093293571989,0.07769181101267303
0.0,0.75,0.08413284132841319,0.005375358394042438,0.08741095758189242,0.07527675276752768,0.009600729584088218,0.08025876960085739,0.0749077490774909,0.019056944728912412,0.0782597705390216
0.0,1.0,0.08265682656826559,0.005280127671505442,0.08602594589656443,0.07453874538745389,0.009507417824157609,0.07949814952428405,0.07472324723247244,0.019010220430121225,0.07794859285411021
0.1,0.0,0.08487084870848696,0.005413824274599717,0.07990771986592819,0.08081180811808118,0.010293749866854014,0.07894610555377705,0.07195571955719564,0.01832857138692746,0.07353737458023357
0.1,0.25,0.08560885608856077,0.0054632468648792305,0.08064249105561143,0.08118081180811809,0.010340459194706785,0.07940361563523794,0.07269372693726943,0.01851425538160144,0.0742351527124062
0.1,0.5,0.08634686346863456,0.005512736509866095,0.08285555602391717,0.081549815498155,0.010389419574504271,0.08079334415613243,0.07269372693726943,0.018510359415039965,0.07498984202259965
0.1,0.75,0.08634686346863456,0.005512152643267936,0.08263684962381357,0.0830258302583026,0.010576946161169849,0.08157840434297492,0.07324723247232479,0.01865221124738497,0.075268931321109
0.1,1.0,0.08634686346863456,0.005513365872562812,0.08239365956436337,0.08302583025830258,0.010573191984617428,0.08147991441941324,0.07343173431734323,0.01869675464986195,0.07535221334806066
0.25,0.0,0.077490774907749,0.004938591954788257,0.0753132062345732,0.07712177121771212,0.00980722248138618,0.07594893150911321,0.07509225092250932,0.01912948954950836,0.07493868826956575
0.25,0.25,0.0789667896678966,0.005031426743895643,0.07579735781210951,0.07933579335793355,0.010089919878030984,0.07714497576527062,0.07527675276752778,0.019179019379444787,0.07503149642036284
0.25,0.5,0.07822878228782279,0.004987999574129357,0.07691760201333832,0.07933579335793355,0.010091017613238593,0.07818824795405765,0.07527675276752777,0.0191785876941229,0.07566357076157737
0.25,0.75,0.0797047970479704,0.005083230296666352,0.07672047303788368,0.07785977859778595,0.00990506652648438,0.07645220552923142,0.07527675276752778,0.019180784144658836,0.07511532813105234
0.25,1.0,0.077490774907749,0.004944085534349093,0.0743219702681846,0.07859778597785974,0.00999512099845767,0.07626510760563329,0.07472324723247242,0.019038859648490798,0.07434198776892718
0.5,0.0,0.077490774907749,0.004941435791289154,0.0755073954352225,0.07195571955719553,0.009154448992898393,0.0721724483974267,0.07398523985239862,0.018844762896521206,0.07357266254431431
0.5,0.25,0.0767527675276752,0.0048947264634363824,0.07439748702138799,0.07343173431734315,0.009339549120974218,0.07284977921610457,0.0739852398523986,0.018843549667226324,0.0735103163805169
0.5,0.5,0.0789667896678966,0.0050342705803965385,0.07845006412198656,0.07269372693726935,0.009247168287918507,0.07404074483340427,0.07343173431734328,0.01870386066878127,0.07415593483448005
0.5,0.75,0.0797047970479704,0.005080979908249311,0.07735498127343782,0.07232472324723245,0.009203157251554062,0.07267962093722842,0.07361623616236171,0.018747190841963374,0.07352202646663933
0.5,1.0,0.07970479704797039,0.005080979908249311,0.07691533993186646,0.07269372693726936,0.00924708626227274,0.07266225080147835,0.07380073800738017,0.018795143924271167,0.07349389606592077
1.0,0.0,0.07084870848708479,0.004519344315048028,0.07201988482794887,0.07047970479704797,0.008964941929021919,0.0713622119690504,0.06974169741697427,0.01773231600463051,0.07055775784989365
1.0,0.25,0.07158671586715859,0.004568240731614003,0.0724172771700826,0.07084870848708487,0.00900989910260101,0.0716572462591639,0.06937269372693737,0.017635872052798637,0.07038142189694886
1.0,0.5,0.07306273062730619,0.0046604766831848145,0.07427972211369142,0.07158671586715866,0.009106198172947983,0.07281410470810273,0.0684501845018451,0.01739930011740845,0.07022266420632538
1.0,0.75,0.07232472324723238,0.004612554126037165,0.07427229256099467,0.07084870848708487,0.00901333399644297,0.07263871372301586,0.06863468634686355,0.017446094571830145,0.07049964541223698
1.0,1.0,0.07306273062730619,0.004659263453889937,0.07342782932459285,0.07158671586715866,0.009105185564309299,0.07234413006860663,0.06826568265682664,0.017353713738774434,0.06980059178409355
