variant,beta_cte,gamma_ngram,K,mean_gt_va_dist,mean_abs_cte_diff,mean_ngram_sim,n_queries,n_candidates
va_only,0.0,0.0,5,1.9146151197792418,0.3102375889616259,0.0,271,1530
va_only,0.0,0.0,10,1.9353624650033199,0.31118922787838754,0.0,271,1530
va_only,0.0,0.0,20,1.938964991903833,0.31263229780971347,0.0,271,1530
va_plus_cte,0.1,0.0,5,1.9234180951030493,0.13495524970477799,0.0,271,1530
va_plus_cte,0.1,0.0,10,1.918494751708534,0.16661108298935134,0.0,271,1530
va_plus_cte,0.1,0.0,20,1.9426562471143434,0.1965650938533769,0.0,271,1530
va_plus_ngram,0.0,0.75,5,1.909433747745528,0.30359761587368167,0.014363901837423058,271,1530
va_plus_ngram,0.0,0.75,10,1.9395586131683575,0.31063374993545984,0.008505807723850012,271,1530
va_plus_ngram,0.0,0.75,20,1.9416070199100735,0.3122253128523316,0.005143912285188302,271,1530
full,0.1,0.75,5,1.916330388639246,0.13700424050602966,0.013162389218917192,271,1530
full,0.1,0.75,10,1.9175534278264346,0.1678440688500985,0.007983636706930025,271,1530
full,0.1,0.75,20,1.9418476287729185,0.1963468634114494,0.004780518009612591,271,1530
